normalized_item,counterparty,doc_type,doc_date,unit_price,quantity,uom,source_file,doc_number
20/80 GREY YARN,SUPER KNIT INDUSTRIES,DELIVERY_INSTRUCTION,2026-01-14,205.0,1000.0,KGS,doc_110.pdf,DDS/00501/25-26
20/80 GREY YARN,NATIONAL HOSIERY FACTORY,DELIVERY_INSTRUCTION,2026-01-15,177.0,200.0,KGS,doc_033.pdf,DDS/00506/25-26
20/80 GREY YARN,FRAM CREATIONS LLP,DELIVERY_INSTRUCTION,2026-01-21,210.0,300.0,KGS,doc_086.pdf,DDS/00523/25-26
20/80 GREY YARN,NATIONAL HOSIERY FACTORY,DELIVERY_INSTRUCTION,2026-01-21,177.0,200.0,KGS,doc_095.pdf,DDS/00520/25-26
300/96 NIM RECYCLED POLYESTER YARN,ALLIANCE FIBRES PRIVATE LIMITED,PURCHASE_ORDER,2026-01-10,121.0,520.0,KGS,doc_034.pdf,DPY/00345/25-26
85/34/0 T-DYED YARN,SUPER KNIT INDUSTRIES,TAX_INVOICE,2026-01-01,193.0,313.45,KGS,doc_050.pdf,P29094
85/34/0 T-DYED YARN,BIMAL SINGH KAMAL SINGH,TAX_INVOICE,2026-01-03,197.0,205.93,KGS,doc_121.pdf,P29110
85/34/0 T-DYED YARN,BIMAL SINGH KAMAL SINGH,TAX_INVOICE,2026-01-05,197.0,18.48,KGS,doc_038.pdf,P29141
40/2/80 NYLON TWT DYED,KARBHARI CORPORATION,TAX_INVOICE,2026-01-04,459.0,90.6,KGS,doc_043.pdf,P29131
155/34/350 T-TWT DYED,SANTDAS SILK MILLS,TAX_INVOICE,2026-01-04,232.5,173.67,KGS,doc_046.pdf,P29133
80/72/2/0 GREY YARN,PINEAPPLE FASHION PRIVATE LIMITED,DELIVERY_INSTRUCTION,2026-01-05,121.0,1000.0,KGS,doc_047.pdf,DDS/00487/25-26
85/34/300 ROYAL WARP DYED,KINGSTON WEAVING INDUSTRIES,TAX_INVOICE,2026-01-04,248.5,178.0,KGS,doc_049.pdf,P29132
